date,equity,position,xgb_prob,pnl,period,peak,drawdown
1222,2.9320548004876503,1,0.40978697,0.006383964394248709,OOS_TEST,3.458022903734195,-0.15210081537591058
1223,2.878712695865383,1,0.6154026,-0.018192737943846016,OOS_TEST,3.458022903734195,-0.16752642304457732
1224,2.8198729656449255,1,0.46687102,-0.020439597985921654,OOS_TEST,3.458022903734195,-0.18454184829144837
1225,2.85964550233616,1,0.43112528,0.014104371784045444,OOS_TEST,3.458022903734195,-0.17304032334542052
1226,2.8606981905416107,1,0.49348676,0.0003681184274730853,OOS_TEST,3.458022903734195,-0.17273590424966678
1227,2.846193026690595,1,0.53729427,-0.005070497789306905,OOS_TEST,3.458022903734195,-0.17693054501834182
1228,2.8567210511088628,1,0.4904715,0.003698984685697626,OOS_TEST,3.458022903734195,-0.17388602370909922
1229,2.832506366474094,1,0.5057017,-0.00847639100967501,OOS_TEST,3.458022903734195,-0.1808884887906983
1230,2.8436192811378214,1,0.47876352,0.003923350286255678,OOS_TEST,3.458022903734195,-0.17767482740871998
1231,2.857188849068854,1,0.5013502,0.004771935547434936,OOS_TEST,3.458022903734195,-0.1737507446860811
1232,2.9052669414819876,1,0.49936196,0.016827061476458516,OOS_TEST,3.458022903734195,-0.1598473976720357
1233,2.927141779543979,1,0.5838261,0.007529372860599404,OOS_TEST,3.458022903734195,-0.15352157546930556
1234,2.849585275877883,1,0.58774614,-0.02649564302217655,OOS_TEST,3.458022903734195,-0.1759495656316452
1235,2.9030441871946784,1,0.48432323,0.018760242681393757,OOS_TEST,3.458022903734195,-0.16049017950118694
1236,2.960714422515157,1,0.58544487,0.019865434902734735,OOS_TEST,3.458022903734195,-0.14381295181186127
1237,2.9355641419604055,1,0.6018039,-0.008494666139865714,OOS_TEST,3.458022903734195,-0.1510859749394965
1238,2.9055008404619835,1,0.5582652,-0.010241064423939017,OOS_TEST,3.458022903734195,-0.15977975816052659
1239,2.900704626212841,1,0.5723077,-0.0016507357982316062,OOS_TEST,3.458022903734195,-0.1611667397921298
1240,2.898131166251008,1,0.518125,-0.0008871844235974757,OOS_TEST,3.458022903734195,-0.1619109395945817
1241,2.9295981472203443,1,0.55324924,0.010857680058022234,OOS_TEST,3.458022903734195,-0.15281123671657115
1242,2.9629368912115264,1,0.6704738,0.011379971694348123,OOS_TEST,3.458022903734195,-0.14317025257063598
1243,3.0469271875776753,1,0.59296906,0.028346974454729557,OOS_TEST,3.458022903734195,-0.11888172160820343
1244,3.0366276784645896,-1,0.6302223,-0.003380293810458234,OOS_TEST,3.458022903734195,-0.12186016027093283
1245,3.110481853191627,-1,0.59724283,0.024321116233907425,OOS_TEST,3.458022903734195,-0.1005028191592574
1246,3.115674515442838,1,0.5823218,0.0016694076661730737,OOS_TEST,3.458022903734195,-0.09900119166986066
1247,3.082861367763515,1,0.5862863,-0.010531635290106478,OOS_TEST,3.458022903734195,-0.10849018251601417
1248,3.040533532973714,1,0.60716486,-0.01373004807559941,OOS_TEST,3.458022903734195,-0.12073065516993808
1249,2.999181319172799,1,0.61827934,-0.013600314994872464,OOS_TEST,3.458022903734195,-0.13268899522496214
1250,3.011501661147837,1,0.5571754,0.004107901678460646,OOS_TEST,3.458022903734195,-0.1291261668926993
1251,3.0141852144844834,1,0.46217135,0.000891101396777394,OOS_TEST,3.458022903734195,-0.1283501300036004
1252,3.0570011575773326,1,0.44087565,0.014204814915520059,OOS_TEST,3.458022903734195,-0.11596850492916444
1253,3.08639873836974,1,0.6194681,0.009616476827148057,OOS_TEST,3.458022903734195,-0.10746723654234669
1254,3.0851789143250277,1,0.53263444,-0.000395225681486866,OOS_TEST,3.458022903734195,-0.10781998841203355
1255,3.0395576141762235,1,0.5090816,-0.014787246190804848,OOS_TEST,3.458022903734195,-0.1210128738898999
1256,3.1354356054054597,1,0.461554,0.03154340315250814,OOS_TEST,3.458022903734195,-0.09328662860514458
1257,3.1183580687794854,1,0.5040917,-0.005446623300613407,OOS_TEST,3.458022903734195,-0.09822515478076155
1258,3.1265311281259427,1,0.41716844,0.0026209496043076985,OOS_TEST,3.458022903734195,-0.0958616483570095
1259,3.090302115751099,1,0.46526253,-0.011587606484685709,OOS_TEST,3.458022903734195,-0.10633844778356094
1260,3.0584648868692663,1,0.46219724,-0.010302303040068406,OOS_TEST,3.458022903734195,-0.11554521990975264
1261,3.012599383664636,1,0.45636573,-0.014996249720420907,OOS_TEST,3.458022903734195,-0.12880872465840598
1262,2.9679540023133226,1,0.4382424,-0.014819554698641935,OOS_TEST,3.458022903734195,-0.1417193914163104
1263,2.9668559819879188,1,0.44242135,-0.0003699586733986182,OOS_TEST,3.458022903734195,-0.14203691977166577
1264,2.969661636852478,1,0.5045971,0.0009456660119644411,OOS_TEST,3.458022903734195,-0.14122557324717344
1265,2.9883250042982996,1,0.48492342,0.006284678097401963,OOS_TEST,3.458022903734195,-0.13582845241675112
1266,2.989544828343012,1,0.50781435,0.0004081965793405473,OOS_TEST,3.458022903734195,-0.13547570054706415
1267,2.99454592824117,1,0.5936568,0.00167286332378902,OOS_TEST,3.458022903734195,-0.13402946955398498
1268,3.0080860942609204,1,0.5664751,0.0045216090666884146,OOS_TEST,3.458022903734195,-0.13011388935203527
1269,2.9962538605889306,1,0.5140552,-0.003933475738797654,OOS_TEST,3.458022903734195,-0.13353556526378607
1270,2.963074706134473,1,0.5348077,-0.01107354583364184,OOS_TEST,3.458022903734195,-0.14313039889505808
1271,2.937336299667598,1,0.59255904,-0.008686384590165241,OOS_TEST,3.458022903734195,-0.15057349779387708
1272,2.9448991491830947,1,0.5911181,0.0025747305531043096,OOS_TEST,3.458022903734195,-0.1483864534260304
1273,2.9278216125571204,1,0.6315365,-0.0057990225677886365,OOS_TEST,3.458022903734195,-0.15332497960164737
1274,2.8574378247389327,1,0.5699801,-0.02403964350707677,OOS_TEST,3.458022903734195,-0.17367874525837068
1275,2.8346271746645306,1,0.5934814,-0.00798290338180363,OOS_TEST,3.458022903734195,-0.1802751879973038
1276,2.86805023436621,1,0.5644591,0.011790989658326145,OOS_TEST,3.458022903734195,-0.17060982121630675
1277,2.950998269406657,1,0.66289955,0.028921402437979582,OOS_TEST,3.458022903734195,-0.14662269407759565
1278,3.049072301286701,1,0.5919485,0.03323418820566215,OOS_TEST,3.458022903734195,-0.1182613920821296
1279,3.0738352767665797,-1,0.5520988,0.008121478611520128,OOS_TEST,3.458022903734195,-0.111100370836973
1280,3.0517445076542544,-1,0.5411678,-0.007186712078977475,OOS_TEST,3.458022903734195,-0.11748863653887753
1281,3.02788937433843,-1,0.5703225,-0.007816884164448146,OOS_TEST,3.458022903734195,-0.1243871256408624
1282,3.049929277780704,-1,0.56952083,0.0072789658793558365,OOS_TEST,3.458022903734195,-0.1180135694048775
1283,3.0247605822987125,1,0.52634335,-0.00825222265491532,OOS_TEST,3.458022903734195,-0.12529191780876237
1284,3.0247605822987125,1,0.6076287,0.0,OOS_TEST,3.458022903734195,-0.12529191780876237
1285,3.045025877549328,1,0.5758242,0.006699801422040075,OOS_TEST,3.458022903734195,-0.11943154735582762
1286,3.098740801972762,1,0.6524618,0.01764021935559512,OOS_TEST,3.458022903734195,-0.10389812669356746
1287,3.1163201125659294,1,0.6709362,0.005673049705214428,OOS_TEST,3.458022903734195,-0.0988144962253642
1288,3.1791909900160853,1,0.64547634,0.02017471735225196,OOS_TEST,3.458022903734195,-0.08063333340476408
1289,3.138538498968372,1,0.6447709,-0.012787055315449214,OOS_TEST,3.458022903734195,-0.09238932582569748
1290,3.1082630527296224,1,0.57355624,-0.009646351717113255,OOS_TEST,3.458022903734195,-0.10114445761098911
1291,3.1208369897833768,1,0.6293472,0.004045325907249708,OOS_TEST,3.458022903734195,-0.09750829399848782
1292,3.1132681282236896,1,0.62069404,-0.002425266550116323,OOS_TEST,3.458022903734195,-0.09969707694481067
1293,3.0583324100633593,1,0.649663,-0.01764567518688931,OOS_TEST,3.458022903734195,-0.11558352989484955
1294,3.0547922274444983,1,0.57841516,-0.001157553249349852,OOS_TEST,3.458022903734195,-0.1166072890535984
1295,3.048810159306499,1,0.45459113,-0.0019582569591004573,OOS_TEST,3.458022903734195,-0.11833719897742778
1296,2.9413803104596314,1,0.40052485,-0.035236647489820916,OOS_TEST,3.458022903734195,-0.1494040403019482
1297,2.846158398981726,1,0.4411536,-0.03237320625941975,OOS_TEST,3.458022903734195,-0.1769405587486823
1298,2.886444592299301,1,0.42082882,0.01415458582065865,OOS_TEST,3.458022903734195,-0.1652904932519872
1299,2.8941356524508164,1,0.44490677,0.0026645445306776594,OOS_TEST,3.458022903734195,-0.16306637260107704
1300,2.9761729319611736,1,0.47790945,0.02834603811362002,OOS_TEST,3.458022903734195,-0.139342620100257
1301,3.0278125666409528,1,0.51316416,0.017351019534254997,OOS_TEST,3.458022903734195,-0.1244093370893159
1302,3.0258594754891264,1,0.4568144,-0.0006450502165638028,OOS_TEST,3.458022903734195,-0.12497413703604765
1303,3.111803235348482,1,0.5072132,0.028403090280807897,OOS_TEST,3.458022903734195,-0.1001206984522407
1304,3.1630765722981233,1,0.44801524,0.0164770498234601,OOS_TEST,3.458022903734195,-0.08529334236553776
1305,3.1525776269426773,1,0.57355046,-0.0033192194736588743,OOS_TEST,3.458022903734195,-0.08832945451624352
1306,3.174063715930189,1,0.5445512,0.006815403625238803,OOS_TEST,3.458022903734195,-0.08211605177553005
1307,3.177970196279188,1,0.5753561,0.0012307504507211853,OOS_TEST,3.458022903734195,-0.08098636569254303
1308,3.1750404105287755,1,0.6165413,-0.000921904728320877,OOS_TEST,3.458022903734195,-0.08183360870740242
1309,3.342045053345249,1,0.59982306,0.052599218032837625,OOS_TEST,3.458022903734195,-0.03353877450137943
1310,3.4174898678491585,1,0.52893436,0.022574445676126542,OOS_TEST,3.458022903734195,-0.011721448068278129
1311,3.4011318451520713,-1,0.6182803,-0.004786560700875574,OOS_TEST,3.458022903734195,-0.01645190334647273
1312,3.3653048576936078,-1,0.57884914,-0.010533842582295394,OOS_TEST,3.458022903734195,-0.02681244416873718
1313,3.3380467899851163,-1,0.52076316,-0.00809973207811332,OOS_TEST,3.458022903734195,-0.03469500263272429
1314,3.362301500337115,-1,0.52124226,0.007266138516922038,OOS_TEST,3.458022903734195,-0.0276809628107767
1315,3.3975596983677057,-1,0.5235818,0.010486328494650254,OOS_TEST,3.458022903734195,-0.017484905985208354
1316,3.3951432263205024,-1,0.5602464,-0.0007112375533429027,OOS_TEST,3.458022903734195,-0.018183707616797773
1317,3.4670518502883976,-1,0.49718478,0.02117984991337951,OOS_TEST,3.4670518502883976,0.0
1318,3.317766088379389,-1,0.51656574,-0.043058416301616775,OOS_TEST,3.4670518502883976,-0.043058416301616775
1319,3.3658062531121344,-1,0.50808257,0.01447967200008704,OOS_TEST,3.4670518502883976,-0.02920221604642037
1320,3.345121954227438,-1,0.59231055,-0.0061454217293615,OOS_TEST,3.4670518502883976,-0.03516817784274473
1321,3.27513853136634,-1,0.5647144,-0.02092103780331711,OOS_TEST,3.4670518502883976,-0.05535346086793991
1322,3.2701835424451056,-1,0.5336852,-0.001512909720849942,OOS_TEST,3.4670518502883976,-0.05678262579976012
1323,3.3052115447580017,-1,0.49383974,0.010711326094775098,OOS_TEST,3.4670518502883976,-0.0466795169264439
1324,3.3423746952933957,-1,0.51173544,0.01124380392363522,OOS_TEST,3.4670518502883976,-0.035960568338379795
1325,3.3315823028598066,-1,0.41966584,-0.0032289594726726545,OOS_TEST,3.4670518502883976,-0.03907341259327357
1326,3.3777375560349556,-1,0.4361645,0.013853853508445368,OOS_TEST,3.4670518502883976,-0.025760876418970402
1327,3.3360370345923385,-1,0.3699394,-0.012345696120798832,OOS_TEST,3.4670518502883976,-0.0377885365876951
1328,3.3173320336367675,-1,0.4210988,-0.005606952429368484,OOS_TEST,3.4670518502883976,-0.043183610490040936
1329,3.3466952608197134,-1,0.5311694,0.008851458607462614,OOS_TEST,3.4670518502883976,-0.03471438982335173
1330,3.3683459418655386,-1,0.5142881,0.0064692717318164394,OOS_TEST,3.4670518502883976,-0.028469694912306664
1331,3.356664310423148,-1,0.52610964,-0.003468061667062816,OOS_TEST,3.4670518502883976,-0.03183902192177113
1332,3.3493250686019196,-1,0.53923434,-0.0021864688102526397,OOS_TEST,3.4670518502883976,-0.03395587570364289
1333,3.366296977526879,-1,0.50385755,0.005067262381923454,OOS_TEST,3.4670518502883976,-0.029060676653317796
1334,3.3858226702475083,-1,0.4516242,0.005800347637472614,OOS_TEST,3.4670518502883976,-0.02342889104301471
1335,3.342461013851596,-1,0.47729465,-0.012806830309498363,OOS_TEST,3.4670518502883976,-0.03593567152058541
1336,3.2980826543399364,-1,0.508843,-0.013277150975807839,OOS_TEST,3.4670518502883976,-0.04873569916019738
1337,3.295567533472789,-1,0.46444306,-0.0007626009202157391,OOS_TEST,3.4670518502883976,-0.0494611341913862
1338,3.283467312590358,-1,0.44631842,-0.0036716652775372616,OOS_TEST,3.4670518502883976,-0.05295119473992538
1339,3.3068106812440163,-1,0.47956726,0.0071093653237078724,OOS_TEST,3.4670518502883976,-0.04621827880395035
1340,3.2829031999665603,-1,0.42573813,-0.007229770187043849,OOS_TEST,3.4670518502883976,-0.05311390145680095
1341,3.299443577669608,-1,0.49807292,0.0050383385362128275,OOS_TEST,3.4670518502883976,-0.048343168737106645
1342,3.330799166372402,-1,0.47386348,0.009503295923896427,OOS_TEST,3.4670518502883976,-0.03929929225161766
1343,3.307705817747412,-1,0.46121216,-0.006933275610892187,OOS_TEST,3.4670518502883976,-0.04596009503801646
1344,3.322889557261868,-1,0.5164639,0.004590414127214282,OOS_TEST,3.4670518502883976,-0.04158065678035294
1345,3.32544342640137,-1,0.5212755,0.0007685687698890664,OOS_TEST,3.4670518502883976,-0.04084404560469668
1346,3.3180022245910736,-1,0.506338,-0.0022376570147666364,OOS_TEST,3.4670518502883976,-0.04299030765430456
1347,3.241840956575599,-1,0.53116304,-0.022953953270739902,OOS_TEST,3.4670518502883976,-0.06495746341205277
1348,3.2626246077968557,-1,0.57831776,0.006411064422855217,OOS_TEST,3.4670518502883976,-0.05896284547187758
1349,3.2760621057311314,-1,0.5441235,0.004118616006930087,OOS_TEST,3.4670518502883976,-0.055087074784122225
1350,3.2388033361382944,-1,0.49645758,-0.011373035183813052,OOS_TEST,3.4670518502883976,-0.06583360272824212
1351,3.176998326669168,-1,0.538622,-0.019082668212518916,OOS_TEST,3.4670518502883976,-0.08365999014266323
1352,3.134292791514093,-1,0.51987934,-0.013442101872256362,OOS_TEST,3.4670518502883976,-0.09597752590479003
1353,3.164903643836063,-1,0.53107196,0.009766430374611779,OOS_TEST,3.4670518502883976,-0.08714845335445476
1354,3.1062707788044626,-1,0.52834904,-0.018525955804624017,OOS_TEST,3.4670518502883976,-0.10405990076379279
1355,3.1257814587073014,-1,0.5237972,0.006281062177827312,OOS_TEST,3.4670518502883976,-0.09843244529288142
1356,3.127839518595513,-1,0.5072474,0.0006584145166255162,OOS_TEST,3.4670518502883976,-0.09783884012714383
1357,3.1082621866211206,-1,0.566423,-0.006259058963224318,OOS_TEST,3.4670518502883976,-0.10348552002111877
1358,3.079363365257715,-1,0.57827485,-0.009297420754206254,OOS_TEST,3.4670518502883976,-0.11182079235372089
1359,3.08715421333055,-1,0.5112557,0.002530019081454782,OOS_TEST,3.4670518502883976,-0.10957368201062434
1360,3.124498772324895,-1,0.5237533,0.012096758507588734,OOS_TEST,3.4670518502883976,-0.09880240987310529
1361,3.1282013729526774,-1,0.46458954,0.0011850222699967272,OOS_TEST,3.4670518502883976,-0.09773447065913765
1362,3.1735615314155106,-1,0.44104654,0.014500395931997812,OOS_TEST,3.4670518502883976,-0.08465126324790151
1363,3.1979702786086026,-1,0.40760648,0.007691279009865437,OOS_TEST,3.4670518502883976,-0.07761106072221335
1364,3.194305936842143,-1,0.4759856,-0.0011458335904404038,OOS_TEST,3.4670518502883976,-0.07866796495228845
