date,equity,drawdown,position,xgb_signal,ppo_signal,sentiment_signal
830,2.4051976946270393,0.0,1,1,1,1
831,2.412641100029499,0.0,1,1,1,1
832,2.4102284589294696,-0.001000000000000037,0,-1,-1,1
833,2.4102284589294696,-0.001000000000000037,0,1,-1,1
834,2.4117536953795238,-0.00036781461194727107,1,1,1,1
835,2.4093419416841444,-0.001367446797335265,0,-1,1,1
836,2.4093419416841444,-0.001367446797335265,0,-1,-1,1
837,2.4093419416841444,-0.001367446797335265,0,-1,-1,1
838,2.4093419416841444,-0.001367446797335265,0,1,-1,1
839,2.4093419416841444,-0.001367446797335265,0,0,-1,1
840,2.4093419416841444,-0.001367446797335265,0,-1,-1,1
841,2.4093419416841444,-0.001367446797335265,0,-1,-1,1
842,2.4093419416841444,-0.001367446797335265,0,-1,-1,1
843,2.4093419416841444,-0.001367446797335265,0,0,-1,1
844,2.4093419416841444,-0.001367446797335265,0,1,-1,1
845,2.4093419416841444,-0.001367446797335265,0,-1,-1,1
846,2.4093419416841444,-0.001367446797335265,0,-1,-1,1
847,2.4093419416841444,-0.001367446797335265,0,-1,-1,1
848,2.4093419416841444,-0.001367446797335265,0,-1,-1,1
849,2.4093419416841444,-0.001367446797335265,0,1,-1,1
850,2.4093419416841444,-0.001367446797335265,0,1,-1,1
851,2.4093419416841444,-0.001367446797335265,0,1,0,1
852,2.4093419416841444,-0.001367446797335265,0,1,-1,1
853,2.4093419416841444,-0.001367446797335265,0,-1,-1,1
854,2.4093419416841444,-0.001367446797335265,0,0,0,1
855,2.4093419416841444,-0.001367446797335265,0,1,0,1
856,2.4093419416841444,-0.001367446797335265,0,1,0,1
857,2.4093419416841444,-0.001367446797335265,0,1,0,1
858,2.4093419416841444,-0.001367446797335265,0,1,0,1
859,2.4093419416841444,-0.001367446797335265,0,-1,0,1
860,2.4093419416841444,-0.001367446797335265,0,1,0,1
861,2.4093419416841444,-0.001367446797335265,0,1,0,1
862,2.4093419416841444,-0.001367446797335265,0,1,0,1
863,2.4093419416841444,-0.001367446797335265,0,-1,0,1
864,2.4093419416841444,-0.001367446797335265,0,-1,0,1
865,2.4093419416841444,-0.001367446797335265,0,1,0,1
866,2.4093419416841444,-0.001367446797335265,0,1,0,1
867,2.4093419416841444,-0.001367446797335265,0,1,0,1
868,2.4093419416841444,-0.001367446797335265,0,1,0,1
869,2.4093419416841444,-0.001367446797335265,0,-1,1,1
870,2.4093419416841444,-0.001367446797335265,0,-1,-1,1
871,2.4093419416841444,-0.001367446797335265,0,1,0,1
872,2.4093419416841444,-0.001367446797335265,0,-1,-1,1
873,2.4093419416841444,-0.001367446797335265,0,1,0,1
874,2.4997437270480325,0.0,1,1,1,1
875,2.526842833664635,0.0,1,1,1,1
876,2.5243159908309702,-0.0010000000000000124,0,-1,1,1
877,2.5243159908309702,-0.0010000000000000124,0,-1,0,1
878,2.5196751371577295,-0.002836621419983698,1,1,1,1
879,2.5711589994009807,0.0,1,1,1,1
880,2.5929935710729497,0.0,1,1,1,1
881,2.590400577501877,-0.0009999999999999805,0,-1,0,1
882,2.590400577501877,-0.0009999999999999805,0,-1,0,1
883,2.590400577501877,-0.0009999999999999805,0,-1,0,1
884,2.590400577501877,-0.0009999999999999805,0,-1,0,1
885,2.590400577501877,-0.0009999999999999805,0,0,0,1
886,2.590400577501877,-0.0009999999999999805,0,-1,0,1
887,2.590400577501877,-0.0009999999999999805,0,1,0,1
888,2.590400577501877,-0.0009999999999999805,0,1,0,1
889,2.590400577501877,-0.0009999999999999805,0,-1,0,1
890,2.590400577501877,-0.0009999999999999805,0,-1,0,1
891,2.590400577501877,-0.0009999999999999805,0,-1,0,1
892,2.590400577501877,-0.0009999999999999805,0,1,0,1
893,2.590400577501877,-0.0009999999999999805,0,1,0,1
894,2.590400577501877,-0.0009999999999999805,0,-1,0,1
895,2.590400577501877,-0.0009999999999999805,0,1,0,1
896,2.590400577501877,-0.0009999999999999805,0,1,0,1
897,2.590400577501877,-0.0009999999999999805,0,1,0,1
898,2.590400577501877,-0.0009999999999999805,0,1,0,1
899,2.590400577501877,-0.0009999999999999805,0,-1,0,1
900,2.590400577501877,-0.0009999999999999805,0,-1,0,1
901,2.590400577501877,-0.0009999999999999805,0,1,0,1
902,2.590400577501877,-0.0009999999999999805,0,-1,0,1
903,2.590400577501877,-0.0009999999999999805,0,-1,0,1
904,2.590400577501877,-0.0009999999999999805,0,1,0,1
905,2.590400577501877,-0.0009999999999999805,0,-1,0,1
906,2.590400577501877,-0.0009999999999999805,0,-1,0,1
907,2.590400577501877,-0.0009999999999999805,0,-1,0,1
908,2.590400577501877,-0.0009999999999999805,0,-1,0,1
909,2.590400577501877,-0.0009999999999999805,0,-1,0,1
910,2.590400577501877,-0.0009999999999999805,0,-1,0,1
911,2.590400577501877,-0.0009999999999999805,0,1,0,1
912,2.590400577501877,-0.0009999999999999805,0,0,0,1
913,2.590400577501877,-0.0009999999999999805,0,1,0,1
914,2.590400577501877,-0.0009999999999999805,0,1,0,1
915,2.590400577501877,-0.0009999999999999805,0,1,0,1
916,2.590400577501877,-0.0009999999999999805,0,1,0,1
917,2.590400577501877,-0.0009999999999999805,0,1,0,1
918,2.590400577501877,-0.0009999999999999805,0,0,0,1
919,2.590400577501877,-0.0009999999999999805,0,1,0,1
920,2.590400577501877,-0.0009999999999999805,0,1,0,1
921,2.590400577501877,-0.0009999999999999805,0,1,-1,1
922,2.590400577501877,-0.0009999999999999805,0,-1,-1,1
923,2.590400577501877,-0.0009999999999999805,0,-1,0,1
924,2.590400577501877,-0.0009999999999999805,0,-1,0,1
925,2.590400577501877,-0.0009999999999999805,0,-1,0,1
926,2.590400577501877,-0.0009999999999999805,0,-1,0,1
927,2.590400577501877,-0.0009999999999999805,0,1,0,1
928,2.590400577501877,-0.0009999999999999805,0,1,0,1
929,2.590400577501877,-0.0009999999999999805,0,-1,0,1
930,2.590400577501877,-0.0009999999999999805,0,1,0,1
931,2.590400577501877,-0.0009999999999999805,0,-1,0,1
932,2.590400577501877,-0.0009999999999999805,0,-1,0,1
933,2.590400577501877,-0.0009999999999999805,0,-1,0,1
934,2.590400577501877,-0.0009999999999999805,0,0,0,1
935,2.590400577501877,-0.0009999999999999805,0,-1,1,1
936,2.590400577501877,-0.0009999999999999805,0,1,0,1
937,2.5992503217706004,0.0,1,1,1,1
938,2.6405182602009085,0.0,1,1,1,1
939,2.6378777419407076,-0.0010000000000000167,0,-1,-1,1
940,2.6378777419407076,-0.0010000000000000167,0,-1,1,1
941,2.629344977271873,-0.0042314734563454574,1,1,1,1
942,2.626715632294601,-0.005227241982889105,0,-1,1,1
943,2.626715632294601,-0.005227241982889105,0,-1,-1,1
944,2.626715632294601,-0.005227241982889105,0,-1,-1,1
945,2.626715632294601,-0.005227241982889105,0,-1,-1,1
946,2.626715632294601,-0.005227241982889105,0,-1,-1,1
947,2.626715632294601,-0.005227241982889105,0,-1,-1,1
948,2.626715632294601,-0.005227241982889105,0,1,-1,1
949,2.670453189110893,0.0,1,1,1,1
950,2.667782735921782,-0.000999999999999986,0,-1,-1,1
951,2.667782735921782,-0.000999999999999986,0,1,-1,1
952,2.667782735921782,-0.000999999999999986,0,1,-1,1
953,2.667782735921782,-0.000999999999999986,0,-1,1,1
954,2.667782735921782,-0.000999999999999986,0,1,-1,1
955,2.667782735921782,-0.000999999999999986,0,-1,1,1
956,2.667782735921782,-0.000999999999999986,0,1,-1,1
957,2.667782735921782,-0.000999999999999986,0,-1,1,1
